Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 5
	output_dir: ./results_sweep_kl_gp_1/a4df161a1d50a62378d48770098f4217
	save_model_every_checkpoint: False
	seed: 1458637747
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [3]
	train_envs: [0]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.0
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.05555333443790167
	kl_reg: 0.08011667663888457
	kl_reg_aux: 0.16375880050234173
	lr: 0.0002046200753543356
	nonlinear_classifier: False
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.1
	specify_zdim: True
	weight_decay: 0.0
	z_dim: 256
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env3_in_acc   env3_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.0947278183  0.0943861153  0.0861551650  0.0000000000  0.4895687103  0.6648473740  2.3683056831  42.769065856  0             0.1357948780 
0.2220317188  0.2066638097  0.2074582083  1.0000000000  0.0764938201  0.0793734789  2.3339991863  5.0584714772  146           0.0400065706 
0.2773253322  0.2549817870  0.2550364338  2.0000000000  0.0998853837  0.1055075714  2.2055228410  3.1899035255  292           0.0366060440 
0.3167595371  0.2794086137  0.2751821689  3.0000000000  0.1530537687  0.1858743282  2.0755095792  3.2185710701  438           0.0365476380 
0.4029147021  0.3105849582  0.3099014145  4.0000000000  0.1655286387  0.2175076563  1.9728805798  3.0582464737  584           0.0366825257 
0.3763394771  0.2820869938  0.2807543935  5.0000000000  0.1912007675  0.2461011638  1.8931021715  2.8966833859  730           0.0364073433 
0.4003429061  0.3186200986  0.3141877411  6.0000000000  0.2092360568  0.2632799116  1.8341011797  2.8625372877  876           0.0361981719 
0.5066438063  0.3536533105  0.3407629661  7.0000000000  0.2311887023  0.2774340845  1.7950792468  2.7595151255  1022          0.0361316563 
0.5353621946  0.3355474609  0.3270467210  8.0000000000  0.2831554592  0.3547780155  1.7021058741  2.6974170208  1168          0.0362639444 
0.5576510930  0.3687593743  0.3729104158  9.0000000000  0.3185379048  0.3782630114  1.6663119401  2.7605428794  1314          0.0360310878 
0.5717959709  0.3627598029  0.3604800686  10.000000000  0.3586688123  0.4183729838  1.6022600450  2.7504817876  1460          0.0363151325 
0.6780968710  0.4077565888  0.4063437634  11.000000000  0.3942716661  0.4485555365  1.5515560198  2.7028129027  1606          0.0360841620 
0.6729532790  0.4277908721  0.4217745392  12.000000000  0.4389943913  0.5077610702  1.4978439000  2.8456282003  1752          0.0360302990 
0.7226746678  0.4483608314  0.4337762538  13.000000000  0.4783905728  0.5584672363  1.4290837017  2.8791448025  1898          0.0362269748 
0.7428204029  0.4484679666  0.4492070296  14.000000000  0.5109268623  0.5952273803  1.3405363805  2.7284194770  2044          0.0404026427 
0.7766823832  0.4660381401  0.4624946421  15.000000000  0.5456920993  0.6736195512  1.2723971736  2.8810226427  2190          0.0363430585 
0.7505357908  0.4432183415  0.4350621517  16.000000000  0.5967278579  0.6823502403  1.2271319309  2.8682485435  2336          0.0360184140 
0.8139734248  0.4853224770  0.4774967853  17.000000000  0.6065552333  0.6953835291  1.1450241241  2.7791474862  2482          0.0405082964 
0.8452636091  0.4903578316  0.4714959280  18.000000000  0.6527151278  0.7085627301  1.0699990416  2.8594196578  2628          0.0366062448 
