Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 16
	output_dir: ./results_sweep_kl_gp_1/6fc116beeaf18194fbd6c0e78d0541b4
	save_model_every_checkpoint: False
	seed: 913215146
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [3]
	train_envs: [0]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.01
	batch_size: 256
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.01965677491879084
	kl_reg: 0.0384643762191862
	kl_reg_aux: 0.012566773646415272
	lr: 0.0013422323598643211
	nonlinear_classifier: False
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.5
	specify_zdim: False
	weight_decay: 0.0
	z_dim: 512
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env3_in_acc   env3_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.1007286755  0.1045639597  0.1110158594  0.0000000000  1.1270656586  1.2933909893  2.3733491898  4.2644529343  0             0.3977799416 
0.2833261895  0.2623741161  0.2490355765  1.0000000000  0.1597033011  0.2360644672  2.2827992108  3.2385677265  36            0.3076320291 
0.3433347621  0.2561602743  0.2567509644  2.0000000000  0.2453912761  0.4583610263  1.9777337710  1.6416558060  72            0.3080822428 
0.5130732962  0.2730876366  0.2931847407  3.0000000000  0.6422103975  1.0797073543  1.7646896243  2.3718939821  108           0.3080492152 
0.6630947278  0.2845511035  0.2901843120  4.0000000000  1.0641874936  1.5431486633  1.5108837419  2.6601627287  144           0.3085470133 
0.7509644235  0.2516605957  0.2670381483  5.0000000000  1.5432909396  2.0287887222  1.2495961421  2.0629590866  180           0.3084348506 
0.8546935276  0.2782301264  0.2978997000  6.0000000000  2.0211371978  2.7075709767  0.9896448569  1.7528949844  216           0.3081650800 
0.8894127733  0.3133704735  0.3287612516  7.0000000000  2.3294452065  2.9905928638  0.8057494379  1.8580740641  252           0.3081653714 
0.9104157737  0.3222626955  0.3261894556  8.0000000000  2.5616579254  3.2068212032  0.6844154100  1.7745374656  288           0.3082259231 
0.9327046721  0.3436897364  0.3626232319  9.0000000000  2.6695214841  3.2624205152  0.5613141573  1.3382966088  324           0.3081433111 
0.9447063866  0.3562245554  0.3630518646  10.000000000  2.7072071433  3.2366354863  0.4883679913  1.0188606042  360           0.3081141114 
0.9309901414  0.4243625455  0.4222031719  11.000000000  2.6050220993  3.1999695434  0.4332522858  0.9986954240  396           0.3081064026 
0.9592798971  0.4111849154  0.4089155594  12.000000000  2.4838090473  2.8782546851  0.4157912988  1.1124230954  432           0.3088049822 
0.9562794685  0.4430040711  0.4440634376  13.000000000  2.4124954674  2.7315764758  0.3805626333  0.9720994615  468           0.3089405762 
0.9609944278  0.4496464538  0.4483497643  14.000000000  2.4225432144  2.6930427684  0.3503356833  0.7502537237  504           0.3085163037 
0.9657093871  0.4762159846  0.4894984998  15.000000000  2.2847305735  2.5413343641  0.3314538474  0.7498385418  540           0.3082523677 
0.9567081012  0.4518962931  0.4642091727  16.000000000  2.2640268008  2.5136367414  0.3321428266  1.0278568073  576           0.3081624574 
0.9674239177  0.5261409899  0.5340762966  17.000000000  2.2189298537  2.3699253599  0.3152719736  0.6606698529  612           0.3078495463 
0.9605657951  0.5571030641  0.5636519503  18.000000000  2.1982561747  2.2559863925  0.2927640788  0.6385953310  648           0.3083230588 
0.9657093871  0.5084636812  0.5216459494  19.000000000  2.0906527374  2.1034938296  0.2889476787  0.7497891871  684           0.3082264463 
0.9699957137  0.5691022070  0.5812258894  20.000000000  2.0942749778  2.0031586952  0.2848802780  0.6105725939  720           0.3081047999 
0.9734247750  0.5977073066  0.6030861552  21.000000000  1.9982184569  1.9234992796  0.2654354332  0.5503994909  756           0.3082723949 
0.9725675096  0.6003856867  0.6108015431  22.000000000  1.9568393893  1.9108749429  0.2567785722  0.5009386593  792           0.3082925015 
0.9725675096  0.6419541461  0.6519502786  23.000000000  1.9410116076  1.8583327730  0.2519624415  0.5948506747  828           0.3085670736 
0.9734247750  0.6445253910  0.6502357480  24.000000000  1.8720818361  1.7320424914  0.2430119887  0.5050162396  864           0.3084289961 
0.9777111016  0.6697021641  0.6888126875  25.000000000  1.8038659692  1.6808251805  0.2339919292  0.4036221363  900           0.3078737259 
0.9674239177  0.6574887508  0.6678096871  26.000000000  1.8956076834  1.6987481316  0.2419516229  0.6143730444  936           0.3079177472 
0.9751393056  0.6419541461  0.6519502786  27.000000000  1.7969197432  1.6142558787  0.2435022179  0.6447132830  972           0.3081531657 
0.9759965709  0.6850224984  0.6982426061  28.000000000  1.7330555320  1.5458108915  0.2193811205  0.3699057798  1008          0.3081865840 
0.9777111016  0.7198414399  0.7363909130  29.000000000  1.7286429538  1.4819038113  0.2202118552  0.4627492991  1044          0.3079456290 
0.9768538363  0.7523034069  0.7608229747  30.000000000  1.6966783206  1.4496383468  0.2105264606  0.3942397059  1080          0.3151573141 
0.9742820403  0.7049496465  0.7175310759  31.000000000  1.7156439755  1.4814604057  0.2086392732  0.4607360802  1116          0.3083342976 
0.9785683669  0.7292693379  0.7501071582  32.000000000  1.5952904556  1.3879387975  0.2008636838  0.3379320320  1152          0.3084611628 
0.9759965709  0.7439468609  0.7569652808  33.000000000  1.6230499082  1.3795157472  0.2094443718  0.4490611189  1188          0.3081904120 
0.9764252036  0.7503749732  0.7668238320  34.000000000  1.5753974848  1.3392848439  0.1984723645  0.3591750856  1224          0.3080091344 
0.9785683669  0.7645168202  0.7861123018  35.000000000  1.5571062830  1.3175645471  0.1896189385  0.3658582854  1260          0.3080095450 
