Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 17
	output_dir: ./results_sweep_kl_gp_1/ea45746144193c9c212bc33910c65ddb
	save_model_every_checkpoint: False
	seed: 15258845
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [4]
	train_envs: [0]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.01
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.4823427879965224
	kl_reg: 0.06594493866109287
	kl_reg_aux: 0.08644122765735142
	lr: 3.6576986778443784e-05
	nonlinear_classifier: False
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.1
	specify_zdim: False
	weight_decay: 0.0
	z_dim: 256
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env4_in_acc   env4_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.0951564509  0.0843244402  0.0827261037  0.0000000000  0.8053655624  1.0848348141  2.3913638592  32.073959350  0             0.1420602798 
0.1063009001  0.0973963356  0.0912987570  1.0000000000  0.3380319256  0.3301976086  2.3542025432  7.7763527224  146           0.0365851285 
0.1123017574  0.1111111111  0.1131590227  2.0000000000  0.1159621004  0.1177735149  2.3475473450  3.2898444019  292           0.0365345413 
0.1195885126  0.1051108968  0.1093013288  3.0000000000  0.0803433559  0.0792767299  2.3469429653  2.7536710860  438           0.0366765163 
0.1474496357  0.1144326583  0.1140162880  4.0000000000  0.0558064817  0.0615699618  2.3446052074  2.4892097271  584           0.0368206289 
0.1315902272  0.1211828994  0.1127303901  5.0000000000  0.0527235498  0.0500901693  2.3363743155  2.2718133257  730           0.0367282482 
0.1410201457  0.1112182578  0.1217316760  6.0000000000  0.0401272610  0.0480947560  2.3377512106  2.0949526478  876           0.0368749573 
0.1380197171  0.1209686060  0.1140162880  7.0000000000  0.0397683398  0.0403857558  2.3337680934  2.0147130938  1022          0.0371216095 
0.1538791256  0.1281474338  0.1234462066  8.0000000000  0.0373368149  0.0329195114  2.3281952453  1.9269164964  1168          0.0370100933 
0.1564509216  0.1230043930  0.1191598800  9.0000000000  0.0334392100  0.0359319399  2.3262118395  1.8535461295  1314          0.0370854058 
