Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 13
	output_dir: ./results_sweep_kl_gp_1/85234936e4efe3c97ac74d881dd9459c
	save_model_every_checkpoint: False
	seed: 763216508
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [1]
	train_envs: [0]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.05
	batch_size: 256
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.0887051872577339
	kl_reg: 0.3760096850748162
	kl_reg_aux: 0.41544091877943506
	lr: 0.003089137859429013
	nonlinear_classifier: False
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.5
	specify_zdim: True
	weight_decay: 0.0
	z_dim: 16
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env1_in_acc   env1_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.1093013288  0.0983501178  0.0981568796  0.0000000000  0.0079184882  0.0005329289  2.3379623890  1.5994873047  0             0.1939980984 
0.1028718388  0.1193486180  0.1037291042  1.0000000000  0.0006805201  0.0008112496  2.3339871764  0.1127164990  36            0.0773624447 
0.1380197171  0.1379901436  0.1333047578  2.0000000000  0.0023911241  0.0027066169  2.2967621552  0.0237046580  72            0.0773276554 
0.2224603515  0.2180201414  0.2100300043  3.0000000000  0.0050202448  0.0065332028  2.2498029537  0.0899353965  108           0.0766444140 
0.2186026575  0.2148060853  0.2087441063  4.0000000000  0.0119564537  0.0120780450  2.1722601453  0.0941909918  144           0.0770250758 
0.2443206172  0.2574458967  0.2576082297  5.0000000000  0.0228914823  0.0218993020  2.0848585731  0.1509325594  180           0.0770568848 
0.2734676382  0.2751232055  0.2601800257  6.0000000000  0.0181847800  0.0182809771  2.0232059492  0.1272392078  216           0.0769885182 
0.1885983712  0.1950932076  0.1795970853  7.0000000000  0.0285422604  0.0312577138  1.9898020691  0.2340225911  252           0.0779774917 
0.2756108015  0.2566959503  0.2666095156  8.0000000000  0.0234767112  0.0260352384  1.9927927388  0.1563384695  288           0.0766804086 
0.2987569653  0.2932290551  0.2914702100  9.0000000000  0.0290190296  0.0332790044  1.9478413728  0.1229307782  324           0.0770439969 
0.2893270467  0.2907649454  0.2816116588  10.000000000  0.0261699770  0.0250541121  1.9461033079  0.2423886395  360           0.0766606463 
0.3321903129  0.3237625884  0.3214744964  11.000000000  0.0240965187  0.0273148475  1.9136839807  0.1063308384  396           0.0772658587 
0.3429061294  0.3339404328  0.3201885984  12.000000000  0.0333247081  0.0291233306  1.8809033930  0.1623782601  432           0.0764051477 
0.3960565795  0.3862224127  0.3819117017  13.000000000  0.0284998344  0.0290668014  1.8541407718  0.1498289001  468           0.0764795144 
0.3819117017  0.3757231626  0.3677668238  14.000000000  0.0345393432  0.0359570865  1.8266009755  0.1600471645  504           0.0775797632 
0.4899271324  0.4720377116  0.4766395199  15.000000000  0.0466093667  0.0414175845  1.7721969684  0.2078853850  540           0.0769643519 
0.4946420917  0.4643239769  0.4539219889  16.000000000  0.0605158749  0.0588138040  1.7174066636  0.1770995505  576           0.0772298707 
0.5683669096  0.5443539747  0.5495070724  17.000000000  0.0585821462  0.0609769900  1.6774651541  0.3266260815  612           0.0774051282 
0.6618088298  0.6322048425  0.6343763395  18.000000000  0.0683513932  0.0714995180  1.5424404409  0.2832982482  648           0.0776403215 
0.7106729533  0.6720591386  0.6635233605  19.000000000  0.0990315182  0.0982609693  1.4249704215  0.3065026618  684           0.0779759089 
0.7269609944  0.6937004500  0.6892413202  20.000000000  0.1082179603  0.1019935905  1.3638421761  0.3697454847  720           0.0779341194 
0.7539648521  0.7426612385  0.7423917703  21.000000000  0.1137021789  0.1048968311  1.2857186463  0.4388870299  756           0.0767480665 
0.7946849550  0.7532676237  0.7488212602  22.000000000  0.1114352396  0.1086022524  1.2383496066  0.3597750341  792           0.0762991773 
0.8444063438  0.7968716520  0.7839691384  23.000000000  0.1212343997  0.1154181264  1.1623003350  0.3522081181  828           0.0779038734 
0.8495499357  0.7991214913  0.7929704243  24.000000000  0.1317428157  0.1267078690  1.1369404925  0.4824069889  864           0.0773245295 
0.8992713245  0.8701521320  0.8688384055  25.000000000  0.1331375115  0.1281992015  1.0753693564  0.3080070584  900           0.0768765079 
0.8662666095  0.8479751446  0.8486926704  26.000000000  0.1313207766  0.1331253623  1.0186682559  0.3289626876  936           0.0763900611 
0.9069867124  0.8441182773  0.8452636091  27.000000000  0.1441978605  0.1425071708  0.9968832682  0.3519796526  972           0.0766720374 
0.9074153450  0.8668309406  0.8675525075  28.000000000  0.1435537932  0.1461424343  0.9717385537  0.3662534977  1008          0.0767508414 
0.9279897128  0.9062566960  0.9022717531  29.000000000  0.1422530901  0.1358395386  0.9478585919  0.3075933545  1044          0.0770205326 
0.9382768967  0.9095778873  0.9061294471  30.000000000  0.1471966586  0.1364969845  0.9129449179  0.2925720178  1080          0.0768546330 
0.9339905701  0.9034711806  0.8996999571  31.000000000  0.1518648697  0.1458183030  0.8858958334  0.2705684880  1116          0.0773722728 
0.9198456922  0.9020784230  0.8919845692  32.000000000  0.1397246841  0.1473041417  0.8661292742  0.3057005956  1152          0.0770643751 
0.9399914273  0.9118277266  0.9138448350  33.000000000  0.1441709265  0.1344008640  0.8639616503  0.2716081536  1188          0.0774147842 
0.9369909987  0.9151489179  0.9202743249  34.000000000  0.1446672357  0.1375250614  0.8436525845  0.3040277602  1224          0.0775213043 
0.9455636520  0.9359331476  0.9314187741  35.000000000  0.1489212981  0.1346426799  0.8255396485  0.2510504497  1260          0.0768395199 
0.9579939991  0.9336833083  0.9318474068  36.000000000  0.1408605801  0.1435536459  0.8159467429  0.1863859836  1296          0.0768505335 
0.9494213459  0.9307906578  0.9297042435  37.000000000  0.1522995469  0.1412526156  0.8053681685  0.2281192034  1332          0.0773079462 
0.9541363052  0.9361474180  0.9348478354  38.000000000  0.1382213771  0.1324095956  0.7965539992  0.2245302353  1368          0.0773316158 
0.9562794685  0.9343261196  0.9365623661  39.000000000  0.1358423825  0.1321098695  0.7895087633  0.2319764464  1404          0.0772382683 
0.9575653665  0.9412899079  0.9455636520  40.000000000  0.1371192661  0.1291328695  0.7806381070  0.2096576987  1440          0.0767531726 
0.9549935705  0.9337904435  0.9309901414  41.000000000  0.1391827804  0.1416159163  0.7893250701  0.2923396335  1476          0.0772279700 
0.9639948564  0.9409685022  0.9429918560  42.000000000  0.1407243144  0.1320959574  0.7885379990  0.2498233380  1512          0.0771251387 
0.9601371625  0.9464323977  0.9417059580  43.000000000  0.1401603133  0.1203815900  0.7722633266  0.1942707787  1548          0.0768455995 
0.9622803258  0.9448253696  0.9408486927  44.000000000  0.1384432289  0.1363871379  0.7573512097  0.2025328192  1584          0.0773348543 
0.9592798971  0.9511463467  0.9464209173  45.000000000  0.1452796467  0.1304617961  0.7633919418  0.2231163229  1620          0.0773772597 
0.9708529790  0.9561817013  0.9567081012  46.000000000  0.1217962230  0.1191647638  0.7457697060  0.1589448928  1656          0.0766287645 
0.9691384483  0.9500749946  0.9511358766  47.000000000  0.1399101108  0.1234965622  0.7540182836  0.2228677494  1692          0.0770772762 
0.9682811830  0.9528605100  0.9451350193  48.000000000  0.1251376414  0.1219853759  0.7403750983  0.1622525915  1728          0.0768503348 
0.9669952850  0.9506106707  0.9524217745  49.000000000  0.1277890874  0.1181622003  0.7385301408  0.1675809891  1764          0.0765922599 
0.9682811830  0.9511463467  0.9524217745  50.000000000  0.1332390209  0.1242291865  0.7445839942  0.1952061250  1800          0.0770475136 
0.9704243463  0.9518962931  0.9498499786  51.000000000  0.1410833504  0.1293456025  0.7438795815  0.2232932322  1836          0.0763697558 
0.9665666524  0.9545746732  0.9545649378  52.000000000  0.1153933367  0.1180487552  0.7323220256  0.1497037384  1872          0.0775110258 
0.9691384483  0.9547889436  0.9584226318  53.000000000  0.1254825118  0.1183604859  0.7325307810  0.1848470920  1908          0.0769213835 
0.9691384483  0.9540389972  0.9532790399  54.000000000  0.1307373765  0.1182207999  0.7176521338  0.1597799226  1944          0.0764740772 
0.8589798543  0.8322262696  0.8324046292  55.000000000  0.1146234949  0.1184377486  0.8786930492  0.3397476768  1980          0.0767540269 
0.8598371196  0.8422969788  0.8491213030  56.000000000  0.1279249849  0.1241618689  1.0415889041  0.2961082954  2016          0.0767089791 
0.9695670810  0.9530747804  0.9537076725  57.000000000  0.1520833336  0.1360729494  0.8503560192  0.2682978848  2052          0.0773451858 
0.9717102443  0.9601457039  0.9584226318  58.000000000  0.1333599051  0.1236123534  0.7381405350  0.1477465969  2088          0.0774120688 
0.9725675096  0.9603599743  0.9579939991  59.000000000  0.1373274744  0.1263562466  0.7213661025  0.1067721303  2124          0.0777491397 
0.9687098157  0.9586458110  0.9545649378  60.000000000  0.1217768507  0.1132187349  0.7208489312  0.1613700479  2160          0.0767828292 
0.9721388770  0.9577887294  0.9524217745  61.000000000  0.1250926078  0.1091567100  0.7184328271  0.1507420300  2196          0.0766591363 
0.9742820403  0.9601457039  0.9618516931  62.000000000  0.1254322341  0.1120976162  0.7176769492  0.1500440557  2232          0.0771178404 
