Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 1
	output_dir: ./results_sweep_kl_gp_1/da27f7a28b97e0282396a9344838ce54
	save_model_every_checkpoint: False
	seed: 542816401
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [5]
	train_envs: [0]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.05
	batch_size: 128
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.02493732999699255
	kl_reg: 0.2457987549090064
	kl_reg_aux: 0.026360627063217776
	lr: 9.242078636590432e-05
	nonlinear_classifier: False
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.5
	specify_zdim: True
	weight_decay: 0.0
	z_dim: 16
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env5_in_acc   env5_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.0972996142  0.0776813458  0.0767252465  0.0000000000  0.0071057379  0.0238567442  2.3274886608  2.6983904839  0             0.1522114277 
0.2348906987  0.1805421622  0.1761680240  1.0000000000  0.0125505665  0.0127327264  2.3090371367  0.5602383887  73            0.0384267160 
0.2306043721  0.2058287796  0.2040291470  2.0000000000  0.0242621921  0.0274689011  2.2488179272  0.5810722756  146           0.0389642324 
0.2387483926  0.2063645130  0.2207458208  3.0000000000  0.0322032305  0.0315263007  2.2125046939  0.6216705135  219           0.0388088847 
0.2520360051  0.2120432873  0.2211744535  4.0000000000  0.0366633484  0.0404123470  2.1865944895  0.7227461322  292           0.0385317443 
0.2841834548  0.2126861674  0.2254607801  5.0000000000  0.0406726364  0.0470208674  2.1709597535  0.6501940460  365           0.0384652811 
0.2657522503  0.2172934748  0.2297471067  6.0000000000  0.0415499353  0.0421737543  2.1532629255  0.8703152003  438           0.0390200582 
0.3287612516  0.2371156113  0.2430347192  7.0000000000  0.0562190220  0.0554293634  2.1283828396  0.7292921168  511           0.0394162119 
0.3244749250  0.2072216865  0.2156022289  8.0000000000  0.0571172062  0.0606961217  2.1171799425  0.8323943942  584           0.0390274296 
0.3553364766  0.2445087325  0.2601800257  9.0000000000  0.0625032320  0.0656186208  2.0895687979  0.8078024514  657           0.0391536380 
