Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 14
	output_dir: ./results_sweep_kl_gp_1/c66bb7b8467544f9f8acb3f8c92fca54
	save_model_every_checkpoint: False
	seed: 1743266400
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [4]
	train_envs: [0]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.01
	batch_size: 128
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.19756898258394898
	kl_reg: 0.0861577036289629
	kl_reg_aux: 0.49373946734146396
	lr: 0.00224138265260081
	nonlinear_classifier: True
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.0
	specify_zdim: False
	weight_decay: 0.0
	z_dim: 512
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env4_in_acc   env4_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.1054436348  0.1009321761  0.1020145735  0.0000000000  1.7857496738  1.8284461498  2.3090591431  390.21099853  0             0.1896984577 
0.1054436348  0.1009321761  0.1020145735  1.0000000000  0.0308065382  0.0343356426  4.1856568252  1.3473698500  73            0.1153159729 
0.1054436348  0.1009321761  0.1020145735  2.0000000000  0.0053870319  0.0056093654  4.1842084421  0.0357145815  146           0.1152587002 
0.1054436348  0.1009321761  0.1020145735  3.0000000000  0.0038189365  0.0037291834  4.2078633798  0.0266729744  219           0.1154648441 
0.1054436348  0.1009321761  0.1020145735  4.0000000000  0.0026631878  0.0018834708  4.2040013581  0.0176555340  292           0.1155626709 
0.1054436348  0.1009321761  0.1020145735  5.0000000000  0.0015662664  0.0012694124  4.1895187522  0.0155133073  365           0.1160019065 
0.1054436348  0.1009321761  0.1020145735  6.0000000000  0.0008817764  0.0007708203  4.1750360548  0.0116961353  438           0.1159263082 
0.1054436348  0.1009321761  0.1020145735  7.0000000000  0.0003090852  0.0006610204  4.1769671342  0.0108930616  511           0.1216748316 
0.1054436348  0.1009321761  0.1020145735  8.0000000000  0.0006069092  0.0006710373  4.1962772591  0.0083444793  584           0.1155580201 
0.1054436348  0.1009321761  0.1020145735  9.0000000000  0.0004866907  0.0003283285  4.1851739981  0.0073657122  657           0.1156598770 
0.1054436348  0.1009321761  0.1020145735  10.000000000  0.0005429444  0.0003565207  4.1605534423  0.0062951208  730           0.1154312467 
0.1054436348  0.1009321761  0.1020145735  11.000000000  0.0001739508  0.0000506362  4.2165530218  0.0063652558  803           0.1155441754 
0.1054436348  0.1009321761  0.1020145735  12.000000000  0.0001903397  0.0005392277  4.1885532484  0.0053939895  876           0.1152265954 
0.1054436348  0.1009321761  0.1020145735  13.000000000  0.0002924155  0.0002297735  4.1595879385  0.0048691410  949           0.1152030148 
0.1054436348  0.1009321761  0.1020145735  14.000000000  0.0005731485  -0.000269040  4.1750360711  0.0043834926  1022          0.1153238310 
0.1054436348  0.1009321761  0.1020145735  15.000000000  0.0002006701  0.0003781417  4.1769671407  0.0044507652  1095          0.1151379494 
0.1054436348  0.1009321761  0.1020145735  16.000000000  0.0000721886  0.0002064476  4.1986910023  0.0034478636  1168          0.1157058494 
0.1054436348  0.1009321761  0.1020145735  17.000000000  0.0002821896  0.0000861671  4.2015875856  0.0035704939  1241          0.1152343979 
0.1054436348  0.1009321761  0.1020145735  18.000000000  0.0002278367  -0.000120662  4.1924152603  0.0034478415  1314          0.1155374867 
0.1054436348  0.1009321761  0.1020145735  19.000000000  0.0002583445  0.0003981917  4.2068979120  0.0036909043  1387          0.1155461971 
0.1054436348  0.1009321761  0.1020145735  20.000000000  0.0000776983  0.0000119275  4.2073806410  0.0029039863  1460          0.1157921602 
0.1054436348  0.1009321761  0.1020145735  21.000000000  0.0003788177  -0.000040687  4.1803464302  0.0026588339  1533          0.1155451030 
0.1054436348  0.1009321761  0.1020145735  22.000000000  0.0000546501  0.0000182309  4.1764843529  0.0025122977  1606          0.1159006667 
0.1054436348  0.1009321761  0.1020145735  23.000000000  0.0004064939  0.0003401711  4.1933808065  0.0024261730  1679          0.1142763961 
0.1054436348  0.1009321761  0.1020145735  24.000000000  0.0000936038  0.0003620239  4.1924152440  0.0025266512  1752          0.1197801257 
0.1054436348  0.1009321761  0.1020145735  25.000000000  -0.000100351  0.0001205026  4.1822773920  0.0022929711  1825          0.1141214142 
0.1054436348  0.1009321761  0.1020145735  26.000000000  0.0000268956  0.0000177410  4.1779326054  0.0022273821  1898          0.1140009606 
0.1054436348  0.1009321761  0.1020145735  27.000000000  -0.000087075  0.0002667479  4.2025531481  0.0020895511  1971          0.1138846907 
0.1054436348  0.1009321761  0.1020145735  28.000000000  -0.000057553  -0.000007743  4.1793808904  0.0021087309  2044          0.1139317049 
0.1054436348  0.1009321761  0.1020145735  29.000000000  0.0003119789  -0.000072214  4.1653809547  0.0017876569  2117          0.1159077801 
0.1054436348  0.1009321761  0.1020145735  30.000000000  0.0003895335  0.0002045076  4.2011048010  0.0018415562  2190          0.1142307634 
0.1054436348  0.1009321761  0.1020145735  31.000000000  0.0002307859  -0.000005617  4.1875876923  0.0015367789  2263          0.1140367919 
0.1054436348  0.1009321761  0.1020145735  32.000000000  -0.000127256  0.0002034331  4.1803464302  0.0018465684  2336          0.1141977898 
0.1054436348  0.1009321761  0.1020145735  33.000000000  0.0000649250  0.0003750455  4.1948290296  0.0016171564  2409          0.1139952353 
0.1054436348  0.1009321761  0.1020145735  34.000000000  0.0002587429  0.0000511783  4.1764844052  0.0013803452  2482          0.1141333221 
0.1054436348  0.1009321761  0.1020145735  35.000000000  0.0002499639  -0.000012626  4.1953117554  0.0011713322  2555          0.1155255951 
0.1054436348  0.1009321761  0.1020145735  36.000000000  0.0000805691  0.0001164528  4.1904842429  0.0013208101  2628          0.1144449711 
0.1054436348  0.1009321761  0.1020145735  37.000000000  0.0002050008  -0.000155517  4.1745533094  0.0012039935  2701          0.1150811502 
0.1054436348  0.1009321761  0.1020145735  38.000000000  0.0000538924  0.0001613506  4.1972428087  0.0012443169  2774          0.1152107062 
