Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 6
	output_dir: ./results_sweep_kl_gp_1/b2149ff226dc9ca65193e3bc893ce5d9
	save_model_every_checkpoint: False
	seed: 917484073
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [3]
	train_envs: [0]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.0
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	grad_penalty: 0.5647728956784629
	kl_reg: 0.22323156567866778
	kl_reg_aux: 0.038888464220783646
	lr: 0.0001875488315021176
	nonlinear_classifier: True
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.0
	specify_zdim: False
	weight_decay: 0.0
	z_dim: 256
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env3_in_acc   env3_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.1131590227  0.1144203985  0.1084440634  0.0000000000  0.7680399418  0.7914640903  2.3180763721  52.235225677  0             0.1183276176 
0.0934419203  0.1003856867  0.0998714102  1.0000000000  0.0323125989  0.0368299239  2.3122088974  1.6349760270  146           0.0375707019 
0.0934419203  0.1003856867  0.0998714102  2.0000000000  0.0018427813  0.0018559482  2.3040591119  0.0945563915  292           0.0365024838 
0.0977282469  0.1040282837  0.0977282469  3.0000000000  0.0005684699  0.0003798531  2.3024367519  0.0591992857  438           0.0368367532 
0.1011573082  0.0961002786  0.0994427775  4.0000000000  0.0001061028  0.0009402478  2.3024497195  0.0444618758  584           0.0365986726 
0.0977282469  0.1040282837  0.0977282469  5.0000000000  0.0004486760  0.0006263485  2.3024335577  0.0382470897  730           0.0368454179 
0.1114444921  0.1145275337  0.1097299614  6.0000000000  0.0003556781  0.0001823004  2.3017200346  0.0308646104  876           0.0368145312 
0.1131590227  0.1145275337  0.1084440634  7.0000000000  0.0005028248  0.0002280359  2.3018279027  0.0291088008  1022          0.0365818445 
0.1131590227  0.1144203985  0.1084440634  8.0000000000  -0.000361695  0.0005619853  2.3010839877  0.0256860427  1168          0.0365300619 
0.1131590227  0.1144203985  0.1084440634  9.0000000000  0.0001643880  0.0005031922  2.3019064224  0.0239019686  1314          0.0367620432 
